EntryPrice,ContractName,Type,ExitPrice,ExitedAt,FullContractName,TotalSize,NetPnL,EnteredAt,CustomTradeDay,TotalFees,id,TotalPnL
2392.8,MGCQ4,Long,2391.0,2024-06-06T12:58:53-04:00,Micro Gold,5.0,-95.2,2024-06-06T12:55:00-04:00,2024-06-06,5.2,9a70c591-74de-4655-b0d7-3c97ed43111a,-90.0
2417.7,GCM4,Long,2407.4,2024-05-22T10:07:23-04:00,Gold,1.0,-1033.24,2024-05-22T04:38:20-04:00,2024-05-22,3.24,bd19b1bc-9fc4-4a52-a082-defbd0333696,-1030.0
5332.0,ESM4,Short,5330.75,2024-05-21T13:04:00-04:00,E-mini S&P,2.0,119.4,2024-05-21T12:36:53-04:00,2024-05-21,5.6,47b85653-e82a-452a-8a2c-7110f79ba08d,125.0
19061.75,MNQM4,Long,19093.0,2024-06-07T10:45:34-04:00,Micro E-mini NASDAQ,1.0,61.76,2024-06-07T10:37:11-04:00,2024-06-07,0.74,e24d31c3-aaec-4b49-b471-d8bbc8f754c6,62.5
2384.4,MGCQ4,Long,2391.12,2024-06-06T11:32:40-04:00,Micro Gold,5.0,330.8,2024-06-06T11:01:17-04:00,2024-06-06,5.2,86bdee2e-547b-4c20-9997-907933a8082f,336.0
5344.5,ESM4,Long,5348.0,2024-06-10T10:12:06-04:00,E-mini S&P,1.0,172.2,2024-06-10T09:55:09-04:00,2024-06-10,2.8,db3643b3-d94d-4921-995c-6be77979adff,175.0
5360.25,ESM4,Long,5358.75,2024-06-06T14:03:21-04:00,E-mini S&P,1.0,-77.8,2024-06-06T13:50:17-04:00,2024-06-06,2.8,e1fd221e-ac07-4b1a-8143-169c0b8443a5,-75.0
5342.25,ESM4,Short,5344.5,2024-06-10T09:54:39-04:00,E-mini S&P,1.0,-115.3,2024-06-10T09:48:36-04:00,2024-06-10,2.8,12ae647c-88d9-486f-a3a0-ffb614da38eb,-112.5
5439.0,MESM4,Short,5429.25,2024-06-13T10:29:23-04:00,MESM4,2.0,96.02,2024-06-13T09:44:51-04:00,2024-06-13,1.48,8f007485-7639-4ba4-8a30-82a19cefdd06,97.5
2345.3,MGCM4,Long,2339.3,2024-05-29T11:07:12-04:00,Micro Gold,5.0,-305.2,2024-05-29T10:39:34-04:00,2024-05-29,5.2,ec79dfbe-b9a4-4c63-bb7c-3cab04ee79f7,-300.0
19049.75,MNQM4,Short,19054.75,2024-06-06T12:54:02-04:00,Micro E-mini NASDAQ,2.0,-21.48,2024-06-06T12:30:57-04:00,2024-06-06,1.48,4fbc485c-70ff-48f2-98d0-e9d9bda59dfa,-20.0
5358.5,ESM4,Long,5362.0,2024-06-10T11:58:35-04:00,E-mini S&P,1.0,172.2,2024-06-10T11:28:10-04:00,2024-06-10,2.8,c9a5e588-a6d4-4412-bdf3-fe64f6cbe222,175.0
2376.8,GCQ4,Long,2371.8,2024-05-31T09:52:45-04:00,Gold,1.0,-503.24,2024-05-31T09:49:13-04:00,2024-05-31,3.24,d1b388d5-171b-465d-92c3-7995565db53f,-500.0
19072.0,MNQM4,Long,19067.75,2024-06-06T12:11:00-04:00,Micro E-mini NASDAQ,2.0,-18.48,2024-06-06T12:04:32-04:00,2024-06-06,1.48,f02db9c4-4859-41b8-9255-c1daf47c7600,-17.0
2339.1,GCM4,Short,2338.3,2024-05-29T12:28:19-04:00,Gold,1.0,76.76,2024-05-29T11:33:05-04:00,2024-05-29,3.24,1b83bff6-13b5-49fc-8657-76318dde6bf8,80.0
2375.1,MGCQ4,Short,2376.8,2024-05-31T09:48:53-04:00,Micro Gold,3.0,-54.12,2024-05-31T09:25:35-04:00,2024-05-31,3.12,1a016712-3f4c-466b-96c7-3668e8a91b41,-51.0
2376.3,MGCQ4,Short,2378.3,2024-06-06T09:24:40-04:00,Micro Gold,3.0,-63.12,2024-06-06T08:45:38-04:00,2024-06-06,3.12,7b14bc06-1c72-43db-8de7-450ac5837d5b,-60.0
5365.25,ESM4,Long,5360.75,2024-06-10T13:00:41-04:00,E-mini S&P,1.0,-227.8,2024-06-10T12:23:17-04:00,2024-06-10,2.8,34dddc6f-1159-49c7-b061-291466888a70,-225.0
2313.2,MGCQ4,Long,2314.66,2024-06-09T22:05:28-04:00,Micro Gold,5.0,67.8,2024-06-09T20:31:50-04:00,2024-06-10,5.2,0722ffdd-d679-4c75-ac36-251718b7f9a7,73.0
2324.5,MGCQ4,Long,2319.5,2024-06-10T09:34:27-04:00,Micro Gold,2.0,-102.08,2024-06-10T09:04:42-04:00,2024-06-10,2.08,699a6187-61dc-42ee-8b93-7b35c41631b6,-100.0
2366.0,GCM4,Short,2351.1,2024-05-23T10:17:14-04:00,Gold,1.0,1486.76,2024-05-23T08:34:32-04:00,2024-05-23,3.24,18d56b2a-8dbc-4639-88ae-7d0490258323,1490.0
75.75,MCLN4,Short,75.87,2024-06-07T10:58:22-04:00,Micro Crude Oil,1.0,-13.04,2024-06-07T10:47:38-04:00,2024-06-07,1.04,26ea3573-b8fb-4a5e-868f-c60c322e21bc,-12.0
2384.9,MGCQ4,Long,2382.8,2024-06-06T10:29:11-04:00,Micro Gold,3.0,-66.12,2024-06-06T10:26:10-04:00,2024-06-06,3.12,b1315e11-b9d9-4a93-828d-68119908d268,-63.0
2339.1,GCM4,Short,2349.0,2024-05-27T08:19:49-04:00,Gold,1.0,-993.24,2024-05-26T21:18:50-04:00,2024-05-27,3.24,7e942cc6-7627-4a7b-80a9-11d602cfc5f5,-990.0
2381.4,MGCQ4,Long,2379.4,2024-06-06T10:15:18-04:00,Micro Gold,3.0,-63.12,2024-06-06T10:02:46-04:00,2024-06-06,3.12,bd5b83f9-eb58-4e29-81ec-6f94b2b42380,-60.0
2383.6,MGCQ4,Long,2382.7,2024-06-06T10:55:47-04:00,Micro Gold,5.0,-50.2,2024-06-06T10:42:38-04:00,2024-06-06,5.2,70cdb175-7472-4eb4-85c8-8c9cbeb596a1,-45.0
2367.8,GCQ4,Short,2365.4,2024-05-30T13:39:24-04:00,Gold,1.0,236.76,2024-05-30T13:17:00-04:00,2024-05-30,3.24,bb067224-cba9-4fd5-9928-a0f5ee754f25,240.0
19073.0,MNQM4,Long,19064.0,2024-06-06T12:15:28-04:00,Micro E-mini NASDAQ,2.0,-37.48,2024-06-06T12:14:23-04:00,2024-06-06,1.48,e0d7efb3-5fb8-40a1-8d5a-024800a5704a,-36.0
2367.2,MGCQ4,Short,2371.6,2024-05-30T10:00:01-04:00,Micro Gold,5.0,-225.2,2024-05-30T09:50:29-04:00,2024-05-30,5.2,4245eb82-1548-4c37-a825-1bdfbf1b89aa,-220.0
18681.5,MNQM4,Short,18706.5,2024-06-03T09:10:16-04:00,Micro E-mini NASDAQ,2.0,-101.48,2024-06-03T08:37:51-04:00,2024-06-03,1.48,de7d5117-4ab3-408c-890b-298b796d5a5a,-100.0
18827.75,MNQM4,Short,18857.5,2024-06-05T09:52:40-04:00,Micro E-mini NASDAQ,2.0,-120.48,2024-06-05T09:35:29-04:00,2024-06-05,1.48,188d9fb2-de75-4d1a-a650-43dd84a75e66,-119.0
5358.75,ESM4,Short,5348.25,2024-06-06T14:10:38-04:00,E-mini S&P,1.0,522.2,2024-06-06T14:03:21-04:00,2024-06-06,2.8,9fdb7428-d08a-4ed6-a561-de1a539da54c,525.0
